elapsed_s,x_unit,y_unit,side,path_error_unit,signed_error_unit
0.047,148.34375,449.703125,left,1.65625,-1.65625
0.047,148.34375,449.703125,left,1.65625,-1.65625
0.047,148.34375,449.703125,left,1.65625,-1.65625
0.047,148.34375,449.703125,left,1.65625,-1.65625
0.141,148.34375,449.703125,left,1.65625,-1.65625
0.141,148.34375,449.703125,left,1.65625,-1.65625
0.141,148.34375,449.703125,left,1.65625,-1.65625
0.141,148.34375,449.703125,left,1.65625,-1.65625
0.156,148.34375,449.703125,left,1.65625,-1.65625
0.235,148.34375,449.703125,left,1.65625,-1.65625
0.235,148.34375,449.703125,left,1.65625,-1.65625
0.235,148.34375,449.703125,left,1.65625,-1.65625
0.235,148.34375,449.703125,left,1.65625,-1.65625
0.344,148.34375,449.703125,left,1.65625,-1.65625
0.344,148.34375,449.703125,left,1.65625,-1.65625
0.344,148.34375,449.703125,left,1.65625,-1.65625
0.344,148.34375,449.703125,left,1.65625,-1.65625
0.36,148.34375,449.703125,left,1.65625,-1.65625
0.453,148.34375,449.703125,left,1.65625,-1.65625
0.453,148.34375,449.703125,left,1.65625,-1.65625
0.453,148.34375,449.703125,left,1.65625,-1.65625
0.453,148.34375,449.703125,left,1.65625,-1.65625
0.547,148.34375,449.703125,left,1.65625,-1.65625
0.547,148.34375,449.703125,left,1.65625,-1.65625
0.547,148.34375,449.703125,left,1.65625,-1.65625
0.547,148.34375,449.703125,left,1.65625,-1.65625
0.563,148.34375,449.703125,left,1.65625,-1.65625
0.656,148.34375,449.703125,left,1.65625,-1.65625
0.656,148.34375,449.703125,left,1.65625,-1.65625
0.656,148.34375,449.703125,left,1.65625,-1.65625
0.656,148.34375,449.703125,left,1.65625,-1.65625
0.735,148.34375,449.703125,left,1.65625,-1.65625
0.75,148.328125,449.703125,left,1.671875,-1.671875
0.75,148.34375,449.703125,left,1.65625,-1.65625
0.75,148.34375,449.703125,left,1.65625,-1.65625
0.86,148.34375,449.703125,left,1.65625,-1.65625
0.86,148.34375,449.703125,left,1.65625,-1.65625
0.86,148.34375,449.703125,left,1.65625,-1.65625
