message_bytes,trial,attempted_packets,received_packets,total_rtt_ms,mean_rtt_ms
10,1,100,97,453,4.670103
10,2,100,95,423,4.452632
10,3,100,97,409,4.216495
10,4,100,96,480,5.000000
10,5,100,95,425,4.473684
50,1,100,95,483,5.084211
50,2,100,98,590,6.020408
50,3,100,93,570,6.129032
50,4,100,99,596,6.020202
50,5,100,97,493,5.082474
100,1,100,95,566,5.957895
100,2,100,91,561,6.164835
100,3,100,92,548,5.956522
100,4,100,96,574,5.979167
100,5,100,92,578,6.282609
150,1,100,89,655,7.359551
150,2,100,94,697,7.414894
150,3,100,96,678,7.062500
150,4,100,93,664,7.139785
150,5,100,92,697,7.576087
200,1,100,91,712,7.824176
200,2,100,87,699,8.034483
200,3,100,88,706,8.022727
200,4,100,91,746,8.197802
200,5,100,87,704,8.091954
250,1,100,87,772,8.873563
250,2,100,91,832,9.142857
250,3,100,87,789,9.068966
250,4,100,89,803,9.022472
250,5,100,86,728,8.465116
